LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M_MAX,WS2M_MAX,T2M_MIN_x,PRECTOTCORR,RH2M,T2M,WS2M,T2M_MIN_y
24.5,32.5,2024,13,15.09,23.77,3.45,7.44,0.0,36.53,14.47,1.97,7.44
25.5,27.5,2024,13,16.97,19.94,6.88,6.39,0.0,42.23,12.04,3.62,6.39
25.5,32.5,2024,13,16.25,23.45,3.58,6.66,0.0,39.14,13.91,1.88,6.66
26.5,27.5,2024,13,16.42,19.77,6.93,6.32,0.01,47.59,11.97,3.56,6.32
26.5,32.5,2024,13,15.98,21.94,4.48,6.78,0.0,41.04,13.18,2.14,6.78
27.5,27.5,2024,13,15.63,18.62,6.87,6.09,0.01,55.24,11.36,3.64,6.09
27.5,32.5,2024,13,15.98,19.37,5.78,5.53,0.0,45.7,11.3,2.77,5.53
28.5,27.5,2024,13,14.94,18.23,6.59,6.92,0.01,59.69,11.6,4.23,6.92
28.5,32.5,2024,13,15.56,18.36,6.64,4.86,0.0,48.35,10.89,3.72,4.86
29.5,27.5,2024,13,13.13,20.12,6.34,6.64,0.17,58.09,12.69,3.79,6.64
29.5,32.5,2024,13,14.49,19.8,5.94,10.71,0.0,52.64,14.52,3.73,10.71
30.5,27.5,2024,13,12.93,17.62,6.36,5.36,0.88,69.12,10.82,3.77,5.36
30.5,32.5,2024,13,12.56,20.39,6.59,7.52,0.05,52.13,13.15,3.84,7.52
31.5,27.5,2024,13,7.85,17.0,8.36,13.85,6.92,74.56,15.83,6.96,13.85
31.5,32.5,2024,13,10.28,19.79,9.39,15.72,2.57,65.67,17.68,8.47,15.72
23.5,27.5,2024,14,17.06,18.12,4.94,5.63,0.01,48.84,11.13,3.93,5.63
23.5,32.5,2024,14,15.13,21.97,5.01,9.35,0.0,38.17,15.16,3.34,9.35
24.5,27.5,2024,14,16.81,16.77,5.34,5.06,0.03,58.79,10.06,4.02,5.06
24.5,32.5,2024,14,14.29,21.21,4.31,8.0,0.0,41.0,13.95,3.11,8.0
25.5,27.5,2024,14,15.98,16.54,5.74,5.35,0.29,67.36,10.13,4.01,5.35
25.5,32.5,2024,14,15.85,20.58,3.87,6.5,0.0,45.95,12.91,2.85,6.5
26.5,27.5,2024,14,15.51,17.13,5.75,6.04,0.3,70.85,11.08,4.02,6.04
26.5,32.5,2024,14,15.73,20.04,4.07,5.94,0.0,51.83,12.3,2.74,5.94
27.5,27.5,2024,14,15.31,16.15,4.94,6.5,0.52,76.46,10.83,3.7,6.5
27.5,32.5,2024,14,15.83,17.82,4.43,4.53,0.0,62.56,10.53,2.89,4.53
28.5,27.5,2024,14,13.71,16.72,3.95,7.78,2.58,75.54,11.64,2.53,7.78
28.5,32.5,2024,14,14.09,16.97,3.3,4.87,0.02,63.83,10.73,2.48,4.87
29.5,27.5,2024,14,12.62,17.9,4.16,8.85,2.15,73.87,12.61,1.84,8.85
29.5,32.5,2024,14,10.81,17.5,3.1,10.05,0.08,67.94,13.59,2.68,10.05
30.5,27.5,2024,14,12.13,15.12,3.73,7.11,1.5,77.08,10.84,2.26,7.11
30.5,32.5,2024,14,11.85,18.85,3.65,7.43,0.21,68.47,12.5,2.22,7.43
31.5,27.5,2024,14,7.85,16.03,5.68,15.3,1.62,69.9,15.72,4.97,15.3
31.5,32.5,2024,14,11.27,17.71,7.5,16.64,1.49,67.88,17.25,5.99,16.64
23.5,27.5,2024,15,18.59,16.44,4.86,4.2,0.0,59.9,9.4,2.98,4.2
23.5,32.5,2024,15,18.05,20.93,5.14,9.06,0.0,44.22,14.39,3.33,9.06
24.5,27.5,2024,15,18.04,15.62,4.26,3.48,0.0,66.31,8.71,2.56,3.48
24.5,32.5,2024,15,17.83,20.08,4.54,7.32,0.0,48.37,13.0,3.26,7.32
25.5,27.5,2024,15,17.41,16.0,3.6,3.64,0.01,68.83,9.2,2.01,3.64
25.5,32.5,2024,15,17.41,20.59,3.89,6.27,0.0,52.46,12.66,2.79,6.27
26.5,27.5,2024,15,16.62,16.72,3.37,4.29,0.01,68.77,9.98,1.85,4.29
26.5,32.5,2024,15,16.95,20.07,3.78,6.38,0.0,54.26,12.37,2.59,6.38
27.5,27.5,2024,15,15.37,16.46,2.97,4.43,0.0,70.82,9.82,1.91,4.43
27.5,32.5,2024,15,16.69,18.16,4.09,5.38,0.0,59.01,10.79,2.58,5.38
28.5,27.5,2024,15,15.35,16.66,3.5,5.12,0.0,71.22,10.13,2.16,5.12
28.5,32.5,2024,15,15.99,16.7,3.61,5.55,0.01,65.47,10.45,2.35,5.55
29.5,27.5,2024,15,14.86,18.79,4.18,6.09,0.0,67.06,11.33,2.22,6.09
29.5,32.5,2024,15,15.16,17.6,2.89,9.52,0.01,68.58,13.38,2.28,9.52
30.5,27.5,2024,15,14.57,16.98,4.71,4.73,0.0,68.55,9.91,2.77,4.73
30.5,32.5,2024,15,13.58,18.66,2.21,7.11,0.02,65.73,12.6,1.26,7.11
31.5,27.5,2024,15,13.02,17.48,7.03,14.93,0.09,64.01,16.08,6.13,14.93
31.5,32.5,2024,15,11.72,18.26,5.87,16.35,0.54,64.63,17.23,4.23,16.35
23.5,27.5,2024,16,18.09,17.33,3.1,3.08,0.0,46.92,9.54,1.76,3.08
23.5,32.5,2024,16,18.85,21.63,3.91,6.8,0.0,43.52,13.8,2.79,6.8
24.5,27.5,2024,16,18.09,16.49,2.61,3.84,0.0,49.56,9.15,1.61,3.84
24.5,32.5,2024,16,18.38,21.06,3.91,6.27,0.0,43.76,12.82,2.9,6.27
25.5,27.5,2024,16,17.27,16.78,2.63,4.58,0.0,49.6,10.05,1.55,4.58
25.5,32.5,2024,16,17.59,21.28,4.11,5.44,0.0,45.03,12.5,2.67,5.44
