-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
28.5,29.5,2024,7,14.92
28.5,30.5,2024,7,14.66
28.5,31.5,2024,7,15.14
28.5,32.5,2024,7,15.14
28.5,33.5,2024,7,14.94
29.5,26.5,2024,7,14.17
29.5,27.5,2024,7,14.34
29.5,28.5,2024,7,13.08
29.5,29.5,2024,7,13.45
29.5,30.5,2024,7,13.84
29.5,31.5,2024,7,14.06
29.5,32.5,2024,7,14.15
29.5,33.5,2024,7,14.8
30.5,26.5,2024,7,11.95
30.5,27.5,2024,7,13.59
30.5,28.5,2024,7,13.3
30.5,29.5,2024,7,13.44
30.5,30.5,2024,7,12.73
30.5,31.5,2024,7,12.06
30.5,32.5,2024,7,13.43
30.5,33.5,2024,7,14.02
31.5,26.5,2024,7,10.97
31.5,27.5,2024,7,11.91
31.5,28.5,2024,7,12.47
31.5,29.5,2024,7,12.95
31.5,30.5,2024,7,12.03
31.5,31.5,2024,7,10.36
31.5,32.5,2024,7,11.57
31.5,33.5,2024,7,12.75
23.5,26.5,2024,8,18.05
23.5,27.5,2024,8,17.77
23.5,28.5,2024,8,17.68
23.5,29.5,2024,8,17.46
23.5,30.5,2024,8,17.65
23.5,31.5,2024,8,17.23
23.5,32.5,2024,8,16.92
23.5,33.5,2024,8,16.72
24.5,26.5,2024,8,17.72
24.5,27.5,2024,8,17.14
24.5,28.5,2024,8,17.05
24.5,29.5,2024,8,17.04
24.5,30.5,2024,8,17.32
24.5,31.5,2024,8,16.99
24.5,32.5,2024,8,16.64
24.5,33.5,2024,8,16.23
25.5,26.5,2024,8,16.75
25.5,27.5,2024,8,16.9
25.5,28.5,2024,8,16.7
25.5,29.5,2024,8,16.86
25.5,30.5,2024,8,16.82
25.5,31.5,2024,8,16.31
25.5,32.5,2024,8,15.91
25.5,33.5,2024,8,15.92
26.5,26.5,2024,8,15.57
26.5,27.5,2024,8,16.33
26.5,28.5,2024,8,16.24
26.5,29.5,2024,8,16.17
26.5,30.5,2024,8,16.15
26.5,31.5,2024,8,15.82
26.5,32.5,2024,8,15.6
26.5,33.5,2024,8,15.55
27.5,26.5,2024,8,15.57
27.5,27.5,2024,8,15.53
27.5,28.5,2024,8,15.43
27.5,29.5,2024,8,15.48
27.5,30.5,2024,8,15.49
27.5,31.5,2024,8,15.74
27.5,32.5,2024,8,15.75
27.5,33.5,2024,8,14.5
28.5,26.5,2024,8,14.99
28.5,27.5,2024,8,14.28
28.5,28.5,2024,8,14.75
28.5,29.5,2024,8,14.9
28.5,30.5,2024,8,14.82
28.5,31.5,2024,8,15.09
28.5,32.5,2024,8,15.13
28.5,33.5,2024,8,14.95
29.5,26.5,2024,8,12.71
29.5,27.5,2024,8,12.8
29.5,28.5,2024,8,13.7
29.5,29.5,2024,8,13.85
29.5,30.5,2024,8,13.93
29.5,31.5,2024,8,14.39
29.5,32.5,2024,8,14.49
29.5,33.5,2024,8,14.52
30.5,26.5,2024,8,11.9
30.5,27.5,2024,8,12.06
30.5,28.5,2024,8,12.14
30.5,29.5,2024,8,12.51
30.5,30.5,2024,8,12.7
30.5,31.5,2024,8,12.62
30.5,32.5,2024,8,12.64
30.5,33.5,2024,8,13.42
31.5,26.5,2024,8,11.77
31.5,27.5,2024,8,10.9
31.5,28.5,2024,8,11.17
31.5,29.5,2024,8,11.28
31.5,30.5,2024,8,10.82
31.5,31.5,2024,8,10.75
31.5,32.5,2024,8,10.86
31.5,33.5,2024,8,11.09
23.5,26.5,2024,9,16.68
23.5,27.5,2024,9,15.22
23.5,28.5,2024,9,14.85
23.5,29.5,2024,9,14.11
23.5,30.5,2024,9,14.4
23.5,31.5,2024,9,14.39
23.5,32.5,2024,9,14.44
23.5,33.5,2024,9,14.65
24.5,26.5,2024,9,14.48
24.5,27.5,2024,9,15.03
24.5,28.5,2024,9,15.42
24.5,29.5,2024,9,14.36
24.5,30.5,2024,9,13.89
24.5,31.5,2024,9,13.75
24.5,32.5,2024,9,13.87
24.5,33.5,2024,9,13.93
25.5,26.5,2024,9,13.78
25.5,27.5,2024,9,14.19
25.5,28.5,2024,9,14.08
25.5,29.5,2024,9,13.82
25.5,30.5,2024,9,14.72
25.5,31.5,2024,9,13.54
25.5,32.5,2024,9,13.39
25.5,33.5,2024,9,13.09
